date,close
20201221,3.513
20201222,3.464
20201223,3.491
20201224,3.485
20201225,3.509
20201228,3.519
20201229,3.512
20201230,3.563
20201231,3.634
20210104,3.632
20210105,3.671
20210106,3.726
20210107,3.803
20210108,3.782
20210111,3.765
20210112,3.899
20210113,3.862
20210114,3.802
20210115,3.805
20210118,3.837
20210119,3.797
20210120,3.8
20210121,3.84
20210122,3.833
20210125,3.89
20210126,3.8
20210127,3.806
20210128,3.731
20210129,3.704
20210201,3.731
20210202,3.752
20210203,3.764
20210204,3.787
20210205,3.834
20210208,3.875
20210209,3.939
20210210,4.012
20210218,4.007
20210219,3.998
20210222,3.873
20210223,3.886
20210224,3.788
20210225,3.843
20210226,3.743
20210301,3.773
20210302,3.707
20210303,3.804
20210304,3.698
20210305,3.678
20210308,3.561
20210309,3.505
20210310,3.523
20210311,3.614
20210312,3.617
20210315,3.558
20210316,3.582
20210317,3.576
20210318,3.591
20210319,3.496
20210322,3.523
20210323,3.504
20210324,3.454
20210325,3.452
20210326,3.514
20210329,3.521
20210330,3.561
